Today,0
Work,0
Risk,43
Action,2
Issue,43
Review,0
Followup,0
Imputation,7
Planning,7
Tool,0
Parameter,0
EnvironmentalParameter,0
Client,14
Project,0
User,14
GlobalParameter,13
ProjectParameter,13
UserParameter,13
Habilitation,37
Ticket,2
Activity,2
Milestone,2
Status,36
ListOfValues,13
HabilitationParameter,0
Severity,36
Likelihood,36
Criticality,36
Priority,36
Urgency,36
RiskManagementPlan,0
Resource,14
RiskType,79
IssueType,79
AccessProfile,37
AccessRight,37
Profile,37
Affectation,14
Message,11
MessageType,79
TicketType,79
ActivityType,79
MilestoneType,79
Team,14
ImportData,11
Workflow,88
ActionType,79
Reports,7
Meeting,6
Decision,6
Question,6
MeetingType,79
DecisionType,79
QuestionType,79
StatusMail,88
Mail,11
HabilitationReport,37
HabilitationOther,37
Contact,14
Role,36
Financial,0
IndividualExpense,151
ProjectExpense,151
Payment,152
Type,13
IndividualExpenseType,79
ProjectExpenseType,79
InvoiceType,79
PaymentType,79
ExpenseDetailType,79
Calendar,14
Product,173
ProductVersion,173
Automation,0
TicketDelay,88
IndicatorDefinition,88
Alert,11
Admin,0
ProjectType,79
ActivityPrice,152
Recipient,14
Term,152
Bill,152
BillType,79
DocumentType,79
Document,0
DocumentDirectory,14
Context,14
ContextType,79
ResourcePlanning,7
RequirementType,79
TestCaseType,79
TestSessionType,79
RequirementTest,0
Requirement,110
TestCase,110
TestSession,110
RiskLevel,36
Feasibility,36
PredefinedNote,88
Efficiency,36
TicketSimple,2
Opportunity,43
OpportunityType,79
Health,36
Audit,11
PortfolioPlanning,7
PeriodicMeeting,6
Command,152
CommandType,79
OverallProgress,36
Quality,36
Trend,36
ChecklistDefinition,88
Quotation,152
QuotationType,79
Diary,7
ClientType,79
AccessRightNoProject,37
PluginManagement,143
PaymentDelay,36
PaymentMode,36
DeliveryMode,36
MeasureUnit,36
Component,173
ComponentVersion,173
Plugin,NULL
ProductType,79
ComponentType,79
Gallery,152
ProviderType,79
Provider,14
Resolution,36
DashboardTicket,0
Expenses,74
Incomes,74
CallForTender,151
Tender,151
CallForTenderType,79
TenderType,79
TenderStatus,36
Organization,0
OrganizationType,79
ProductVersionType,79
ComponentVersionType,79
JoblistDefinition,88
DeliverableWeight,36
DeliverableStatus,36
DeliverableType,79
IncomingType,79
Deliverable,6
Incoming,6
KpiDefinition,88
Category,36
IncomingWeight,36
IncomingStatus,36
Configuration,0
Catalog,152
CatalogType,79
Delivery,6
ActivityStream,0
Language,36
VersionsPlanning,173
StatusMailPerProject,88
IndicatorDefinitionPerProject,88
TicketDelayPerProject,88
DeliveryType,79
EmailTemplate,88
Notification,11
NotificationDefinition,88
MailToSend,11
