1,Today,0,10
2,Work,0,40
3,Risk,43,300
4,Action,2,90
5,Issue,43,320
6,Review,0,330
7,Followup,0,100
8,Imputation,7,110
9,Planning,7,120
11,Tool,0,395
13,Parameter,0,700
14,EnvironmentalParameter,0,440
15,Client,14,520
16,Project,0,20
17,User,14,490
18,GlobalParameter,13,985
19,ProjectParameter,13,990
20,UserParameter,13,995
21,Habilitation,37,1130
22,Ticket,2,50
25,Activity,2,70
26,Milestone,2,80
34,Status,36,720
36,ListOfValues,13,705
37,HabilitationParameter,0,1100
38,Severity,36,755
39,Likelihood,36,745
40,Criticality,36,750
41,Priority,36,765
42,Urgency,36,760
43,RiskManagementPlan,0,290
44,Resource,14,500
45,RiskType,79,860
46,IssueType,79,875
47,AccessProfile,37,1120
48,AccessRight,37,1150
49,Profile,37,1110
50,Affectation,14,470
51,Message,11,420
52,MessageType,79,895
53,TicketType,79,810
55,ActivityType,79,815
56,MilestoneType,79,820
57,Team,14,540
58,ImportData,11,430
59,Workflow,88,580
60,ActionType,79,870
61,Reports,7,150
62,Meeting,6,340
63,Decision,6,360
64,Question,6,370
65,MeetingType,79,880
66,DecisionType,79,885
67,QuestionType,79,890
68,StatusMail,88,590
69,Mail,11,400
70,HabilitationReport,37,1140
71,HabilitationOther,37,1170
72,Contact,14,510
73,Role,36,715
74,Financial,0,200
75,IndividualExpense,151,210
76,ProjectExpense,151,220
78,Payment,152,270
79,Type,13,800
80,IndividualExpenseType,79,833
81,ProjectExpenseType,79,837
82,InvoiceType,79,860
83,PaymentType,79,857
84,ExpenseDetailType,79,841
85,Calendar,14,560
86,Product,173,382
87,ProductVersion,173,384
88,Automation,0,570
89,TicketDelay,88,600
90,IndicatorDefinition,88,610
91,Alert,11,410
92,Admin,0,1200
93,ProjectType,79,805
94,ActivityPrice,152,280
95,Recipient,14,530
96,Term,152,250
97,Bill,152,260
100,BillType,79,853
101,DocumentType,79,900
102,Document,0,30
103,DocumentDirectory,14,550
104,Context,14,480
105,ContextType,79,905
106,ResourcePlanning,7,140
107,RequirementType,79,910
108,TestCaseType,79,915
109,TestSessionType,79,920
110,RequirementTest,0,160
111,Requirement,110,170
112,TestCase,110,180
113,TestSession,110,190
114,RiskLevel,36,770
115,Feasibility,36,775
116,PredefinedNote,88,620
117,Efficiency,36,780
118,TicketSimple,2,60
119,Opportunity,43,310
120,OpportunityType,79,865
121,Health,36,730
122,Audit,11,435
123,PortfolioPlanning,7,130
124,PeriodicMeeting,6,350
125,Command,152,240
126,CommandType,79,849
127,OverallProgress,36,735
128,Quality,36,725
129,Trend,36,740
130,ChecklistDefinition,88,630
131,Quotation,152,230
132,QuotationType,79,845
133,Diary,7,145
134,ClientType,79,925
135,AccessRightNoProject,37,1160
136,PluginManagement,143,9010
137,PaymentDelay,36,785
138,PaymentMode,36,786
139,DeliveryMode,36,787
140,MeasureUnit,36,788
141,Component,173,386
142,ComponentVersion,173,388
143,Plugin,NULL,9000
144,ProductType,79,930
145,ComponentType,79,932
146,Gallery,152,285
147,ProviderType,79,927
148,Provider,14,525
149,Resolution,36,722
150,DashboardTicket,0,15
151,Expenses,74,202
152,Incomes,74,225
153,CallForTender,151,204
154,Tender,151,206
155,CallForTenderType,79,825
156,TenderType,79,829
157,TenderStatus,36,790
158,Organization,0,18
159,OrganizationType,79,803
160,ProductVersionType,79,933
161,ComponentVersionType,79,934
162,JoblistDefinition,88,640
163,DeliverableWeight,36,792
164,DeliverableStatus,36,794
165,DeliverableType,79,938
166,IncomingType,79,936
167,Deliverable,6,374
168,Incoming,6,372
169,KpiDefinition,88,615
170,Category,36,791
171,IncomingWeight,36,791
172,IncomingStatus,36,793
173,Configuration,0,380
174,Catalog,152,286
175,CatalogType,79,858
176,Delivery,6,375
177,ActivityStream,0,19
178,Language,36,795
179,VersionsPlanning,173,390
180,StatusMailPerProject,88,591
181,IndicatorDefinitionPerProject,88,611
182,TicketDelayPerProject,88,601
183,DeliveryType,79,940
184,EmailTemplate,88,585
185,Notification,11,431
186,NotificationDefinition,88,672
187,MailToSend,11,402
